"","price","date","sqm","postcode","property_type","new_build","estate_type","number","street","town","district","transaction_category","Adress","index","years","bedrooms","bathrooms","en_suite"
"335",600000,2008-04-28,111,"NW5 2QD","terraced","No","freehold","1","LEIGHTON ROAD","LONDON","CAMDEN","A","1 LEIGHTON ROAD LONDON","LONDON288",11,4,4,1
"336",378000,2007-09-26,53,"NW5 4EX","flat","No","leasehold","3","ST THOMASS GARDENS","LONDON","CAMDEN","A","3 ST THOMASS GARDENS LONDON","LONDON289",0,2,2,1
"337",305000,2009-03-03,28,"NW6 1DZ","flat","No","leasehold","59","ACHILLES ROAD","LONDON","CAMDEN","A","59 ACHILLES ROAD LONDON","LONDON290",10,1,0,0
"338",750000,2012-07-09,111,"NW6 1HQ","flat","No","leasehold","PULSE APARTMENTS, 52","LYMINGTON ROAD","LONDON","CAMDEN","A","PULSE APARTMENTS, 52 LYMINGTON ROAD ","LONDON291",33,2,3,1
"339",740000,2016-01-26,60,"NW6 1JF","flat","No","leasehold","YALE COURT","HONEYBOURNE ROAD","LONDON","CAMDEN","A","YALE COURT HONEYBOURNE ROAD ","LONDON292",26,2,2,1
"340",540000,2012-08-16,60,"NW6 1JF","flat","No","leasehold","YALE COURT","HONEYBOURNE ROAD","LONDON","CAMDEN","A","YALE COURT HONEYBOURNE ROAD ","LONDON292",22,2,2,1
"341",460000,2010-06-01,60,"NW6 1JF","flat","No","leasehold","YALE COURT","HONEYBOURNE ROAD","LONDON","CAMDEN","A","YALE COURT HONEYBOURNE ROAD ","LONDON292",20,2,2,1
"342",965000,2008-08-18,142,"NW6 1LS","flat","No","leasehold","BUCKINGHAM MANSIONS, 353","WEST END LANE","LONDON","CAMDEN","A","BUCKINGHAM MANSIONS, 353 WEST END LANE LONDON","LONDON293",24,5,6,1
"343",327000,2009-07-29,53,"NW6 1NS","flat","No","leasehold","6","MILL LANE","LONDON","CAMDEN","A","6 MILL LANE ","LONDON294",82,3,1,0
"344",499950,2010-02-03,44,"NW6 1QT","flat","No","leasehold","9C","INGLEWOOD ROAD","LONDON","CAMDEN","A","9C INGLEWOOD ROAD ","LONDON295",20,2,1,0
"345",499950,2009-10-01,27,"NW6 1RH","flat","No","leasehold","8","SALMON MEWS","LONDON","CAMDEN","A","8 SALMON MEWS ","LONDON296",84,1,1,0
"346",420000,2013-08-30,56,"NW6 1TS","flat","No","leasehold","35","PANDORA ROAD","LONDON","CAMDEN","A","35 PANDORA ROAD ","LONDON297",11,2,2,0
"347",249950,2009-01-23,16,"NW6 1XR","flat","No","leasehold","15","WEDGWOOD WALK","LONDON","CAMDEN","A","15 WEDGWOOD WALK LONDON","LONDON298",4,1,2,1
"348",710000,2012-11-01,66,"NW6 3LN","flat","No","leasehold","25","GREENCROFT GARDENS","LONDON","CAMDEN","A","25 GREENCROFT GARDENS ","LONDON299",30,2,2,1
"349",780000,2010-05-28,145,"NW6 3LP","flat","No","leasehold","5A","GREENCROFT GARDENS","LONDON","CAMDEN","A","5A GREENCROFT GARDENS ","LONDON300",72,4,3,0
"350",480000,2010-07-08,72,"NW6 4BJ","flat","No","leasehold","162","BELSIZE ROAD","LONDON","CAMDEN","A","162 BELSIZE ROAD ","LONDON301",22,2,3,1
"351",535000,2010-11-18,62,"NW6 4SN","flat","No","leasehold","130C","ABBEY ROAD","LONDON","CAMDEN","A","130C ABBEY ROAD ","LONDON302",95,3,3,1
"352",423000,2007-11-30,96,"NW6 6HB","flat","No","leasehold","147A","HARVIST ROAD","LONDON","BRENT","A","147A HARVIST ROAD LONDON","LONDON303",49,3,3,1
"353",450000,2008-01-18,81,"NW6 6PB","flat","No","leasehold","98B","SALUSBURY ROAD","LONDON","BRENT","A","98B SALUSBURY ROAD LONDON","LONDON304",51,2,2,1
"354",577750,2015-10-01,49,"NW6 7BB","flat","No","leasehold","39","CHRISTCHURCH AVENUE","LONDON","BRENT","A","39 CHRISTCHURCH AVENUE ","LONDON305",67,2,2,1
"355",360000,2012-07-12,49,"NW6 7BB","flat","No","leasehold","39","CHRISTCHURCH AVENUE","LONDON","BRENT","A","39 CHRISTCHURCH AVENUE ","LONDON305",64,2,2,1
"356",235000,2010-07-20,49,"NW6 7BB","flat","No","leasehold","39","CHRISTCHURCH AVENUE","LONDON","BRENT","A","39 CHRISTCHURCH AVENUE ","LONDON305",62,2,2,1
"357",320500,2010-08-03,84,"NW6 7DA","flat","No","leasehold","WESTWARD COURT, 27","BRONDESBURY PARK","LONDON","BRENT","A","WESTWARD COURT, 27 BRONDESBURY PARK ","LONDON306",58,2,2,1
"358",232000,2009-02-09,72,"NW6 7NU","flat","No","leasehold","ROSEDENE, 77","CHRISTCHURCH AVENUE","LONDON","BRENT","A","ROSEDENE, 77 CHRISTCHURCH AVENUE LONDON","LONDON307",44,3,2,1
"359",320000,2009-01-30,20,"NW7 1GW","terraced","No","freehold","9","ARLINGTON GREEN","LONDON","BARNET","A","9 ARLINGTON GREEN LONDON","LONDON308",48,1,1,0
"360",275000,2013-05-03,83,"NW7 1JP","flat","No","leasehold","39","FRITH COURT","LONDON","BARNET","A","39 FRITH COURT ","LONDON309",85,2,3,1
"361",389950,2016-05-27,74,"NW7 3HN","flat","No","leasehold","25","LALEHAM AVENUE","LONDON","BARNET","A","25 LALEHAM AVENUE ","LONDON310",64,3,3,1
"362",172000,2009-09-24,27,"NW7 3QD","flat","No","leasehold","42","SEFTON AVENUE","LONDON","BARNET","A","42 SEFTON AVENUE ","LONDON311",46,1,1,1
"363",5980000,2013-08-12,210,"NW8 0PS","terraced","No","freehold","51A","MARLBOROUGH PLACE","LONDON","CITY OF WESTMINSTER","A","51A MARLBOROUGH PLACE ","LONDON312",45,5,4,1
"364",760000,2009-01-07,107,"NW8 8HU","flat","No","leasehold","63","CLIFTON COURT","LONDON","CITY OF WESTMINSTER","A","63 CLIFTON COURT LONDON","LONDON313",7,4,2,0
"365",211500,2016-03-11,32,"NW9 5BH","flat","No","leasehold","GUILLEMOT COURT, 2","RAVEN CLOSE","LONDON","BARNET","A","GUILLEMOT COURT, 2 RAVEN CLOSE ","LONDON314",50,1,2,1
"366",245000,2013-11-28,8,"NW9 5DD","flat","No","leasehold","CORMORANT COURT, 18","MAGPIE CLOSE","LONDON","BARNET","A","CORMORANT COURT, 18 MAGPIE CLOSE ","LONDON315",38,1,1,1
"367",242000,2007-11-28,119,"NW9 5DJ","terraced","No","freehold","12","KESTREL CLOSE","LONDON","BARNET","A","12 KESTREL CLOSE LONDON","LONDON316",28,4,4,1
"368",175000,2009-11-11,9,"NW9 7NX","flat","No","leasehold","27A","DOREEN AVENUE","LONDON","BRENT","A","27A DOREEN AVENUE ","LONDON317",37,1,1,0
"369",179950,2012-11-30,43,"NW9 7NX","flat","No","leasehold","35","DOREEN AVENUE","LONDON","BRENT","A","35 DOREEN AVENUE ","LONDON318",58,2,2,1
"370",415000,2008-02-26,87,"NW9 8SA","semi-detached","No","freehold","14","BIRCHEN GROVE","LONDON","BRENT","A","14 BIRCHEN GROVE LONDON","LONDON319",26,2,2,0
"371",600000,2009-01-26,131,"SE1 1LB","flat","No","leasehold","BRIDGEGATE HOUSE 116-118","BOROUGH HIGH STREET","LONDON","SOUTHWARK","A","BRIDGEGATE HOUSE 116-118 BOROUGH HIGH STREET LONDON","LONDON320",51,4,4,1
"372",420000,2012-05-11,58,"SE1 1QZ","flat","No","leasehold","2","WELLER STREET","LONDON","SOUTHWARK","A","2 WELLER STREET ","LONDON321",35,2,3,1
"373",430000,2012-06-29,58,"SE1 1QZ","flat","No","leasehold","2","WELLER STREET","LONDON","SOUTHWARK","A","2 WELLER STREET ","LONDON321",36,2,3,1
"374",1160000,2015-09-07,192,"SE1 2AS","flat","No","leasehold","TEA TRADE WHARF, 26","SHAD THAMES","LONDON","SOUTHWARK","A","TEA TRADE WHARF, 26 SHAD THAMES ","LONDON322",95,6,5,1
"375",565000,2013-01-21,114,"SE1 2EB","flat","No","leasehold","58","PROVIDENCE SQUARE","LONDON","SOUTHWARK","A","58 PROVIDENCE SQUARE ","LONDON323",47,4,2,1
"376",312500,2010-04-30,85,"SE1 2JW","flat","No","leasehold","THE CIRCLE","QUEEN ELIZABETH STREET","LONDON","SOUTHWARK","A","THE CIRCLE QUEEN ELIZABETH STREET ","LONDON324",46,2,3,1
"377",415000,2008-03-07,110,"SE1 2PW","flat","No","leasehold","3","MILLENNIUM SQUARE","LONDON","SOUTHWARK","A","3 MILLENNIUM SQUARE LONDON","LONDON325",50,4,3,1
"378",451000,2013-11-15,47,"SE1 3AH","flat","No","leasehold","91","ALSCOT ROAD","LONDON","SOUTHWARK","A","91 ALSCOT ROAD ","LONDON326",52,2,2,1
"379",385000,2013-08-08,66,"SE1 3BB","flat","No","leasehold","ALASKA BUILDINGS, 61","GRANGE ROAD","LONDON","SOUTHWARK","A","ALASKA BUILDINGS, 61 GRANGE ROAD ","LONDON327",25,2,2,1
"380",418000,2010-08-13,57,"SE1 3DB","flat","No","leasehold","ANTONINE HEIGHTS","CITY WALK","LONDON","SOUTHWARK","A","ANTONINE HEIGHTS CITY WALK ","LONDON328",49,2,2,0
"381",950000,2010-05-28,213,"SE1 4GG","semi-detached","No","leasehold","1","HORSEMONGERS MEWS","LONDON","SOUTHWARK","A","1 HORSEMONGERS MEWS ","LONDON329",100,8,6,1
"382",455000,2010-04-15,95,"SE1 4LB","flat","No","leasehold","LONGSTONE COURT, 22","GREAT DOVER STREET","LONDON","SOUTHWARK","A","LONGSTONE COURT, 22 GREAT DOVER STREET ","LONDON330",64,2,3,1
"383",260000,2009-05-29,95,"SE1 4LB","flat","No","leasehold","LONGSTONE COURT, 22","GREAT DOVER STREET","LONDON","SOUTHWARK","A","LONGSTONE COURT, 22 GREAT DOVER STREET ","LONDON330",63,2,3,1
"384",430000,2009-09-03,95,"SE1 4LB","flat","No","leasehold","LONGSTONE COURT, 22","GREAT DOVER STREET","LONDON","SOUTHWARK","A","LONGSTONE COURT, 22 GREAT DOVER STREET ","LONDON330",64,2,3,1
"385",400000,2009-06-24,95,"SE1 4LB","flat","No","leasehold","LONGSTONE COURT, 22","GREAT DOVER STREET","LONDON","SOUTHWARK","A","LONGSTONE COURT, 22 GREAT DOVER STREET ","LONDON330",63,2,3,1
"386",470000,2012-11-08,95,"SE1 4LB","flat","No","leasehold","LONGSTONE COURT, 22","GREAT DOVER STREET","LONDON","SOUTHWARK","A","LONGSTONE COURT, 22 GREAT DOVER STREET ","LONDON330",67,2,3,1
"387",550000,2016-03-31,95,"SE1 4LB","flat","No","leasehold","LONGSTONE COURT, 22","GREAT DOVER STREET","LONDON","SOUTHWARK","A","LONGSTONE COURT, 22 GREAT DOVER STREET ","LONDON330",70,2,3,1
"388",450000,2012-01-06,95,"SE1 4LB","flat","No","leasehold","LONGSTONE COURT, 22","GREAT DOVER STREET","LONDON","SOUTHWARK","A","LONGSTONE COURT, 22 GREAT DOVER STREET ","LONDON330",66,2,3,1
"389",622500,2016-02-05,95,"SE1 4LB","flat","No","leasehold","LONGSTONE COURT, 22","GREAT DOVER STREET","LONDON","SOUTHWARK","A","LONGSTONE COURT, 22 GREAT DOVER STREET ","LONDON330",70,2,3,1
"390",540000,2013-05-17,95,"SE1 4LB","flat","No","leasehold","LONGSTONE COURT, 22","GREAT DOVER STREET","LONDON","SOUTHWARK","A","LONGSTONE COURT, 22 GREAT DOVER STREET ","LONDON330",67,2,3,1
"391",310000,2013-12-02,39,"SE1 4YS","flat","No","leasehold","154","NEW KENT ROAD","LONDON","SOUTHWARK","A","154 NEW KENT ROAD ","LONDON331",81,2,2,0
"392",245000,2010-09-15,21,"SE1 5AD","flat","No","leasehold","10A","OAKLEY PLACE","LONDON","SOUTHWARK","A","10A OAKLEY PLACE ","LONDON332",40,1,1,0
"393",262000,2012-08-02,52,"SE1 6BW","flat","No","leasehold","METRO CENTRAL HEIGHTS, 119","NEWINGTON CAUSEWAY","LONDON","SOUTHWARK","A","METRO CENTRAL HEIGHTS, 119 NEWINGTON CAUSEWAY ","LONDON333",52,3,6,1
"394",575000,2012-06-08,144,"SE1 7HG","flat","No","leasehold","9","ALBERT EMBANKMENT","LONDON","LAMBETH","A","9 ALBERT EMBANKMENT ","LONDON334",24,5,3,0
"395",750000,2013-09-19,144,"SE1 7HG","flat","No","leasehold","9","ALBERT EMBANKMENT","LONDON","LAMBETH","A","9 ALBERT EMBANKMENT ","LONDON334",25,5,3,0
"396",365000,2009-03-03,94,"SE1 8YT","flat","No","leasehold","WHITEHOUSE APARTMENTS, 9","BELVEDERE ROAD","LONDON","LAMBETH","A","WHITEHOUSE APARTMENTS, 9 BELVEDERE ROAD LONDON","LONDON335",51,2,3,1
"397",1400000,2013-11-04,209,"SE1 9DL","flat","No","leasehold","WINCHESTER WHARF, 4","CLINK STREET","LONDON","SOUTHWARK","A","WINCHESTER WHARF, 4 CLINK STREET ","LONDON336",112,6,4,0
"398",580000,2012-05-25,95,"SE10 0LZ","flat","No","leasehold","PLEASAUNCE MANSIONS","HALSTOW ROAD","LONDON","GREENWICH","A","PLEASAUNCE MANSIONS HALSTOW ROAD ","LONDON337",59,2,3,0
"399",109250,2012-11-23,16,"SE10 0PS","flat","No","leasehold","42","KILBY COURT","LONDON","GREENWICH","A","42 KILBY COURT ","LONDON338",51,1,1,1
"400",250000,2013-12-20,85,"SE10 0QU","flat","No","leasehold","ALAMARO LODGE","RENAISSANCE WALK","LONDON","GREENWICH","A","ALAMARO LODGE RENAISSANCE WALK ","LONDON339",107,2,3,1
"401",297500,2012-08-30,43,"SE10 0RG","flat","No","leasehold","FARNSWORTH COURT","OSIER LANE","LONDON","GREENWICH","A","FARNSWORTH COURT OSIER LANE ","LONDON340",62,2,2,0
"402",222995,2012-03-20,20,"SE10 0RU","flat","No","leasehold","FARNSWORTH COURT","WEST PARKSIDE","LONDON","GREENWICH","A","FARNSWORTH COURT WEST PARKSIDE ","LONDON341",36,1,1,0
"403",250000,2013-12-20,20,"SE10 0RU","flat","No","leasehold","FARNSWORTH COURT","WEST PARKSIDE","LONDON","GREENWICH","B","FARNSWORTH COURT WEST PARKSIDE ","LONDON341",38,1,1,0
"404",340000,2015-12-21,20,"SE10 0RU","flat","No","leasehold","FARNSWORTH COURT","WEST PARKSIDE","LONDON","GREENWICH","A","FARNSWORTH COURT WEST PARKSIDE ","LONDON341",40,1,1,0
"405",337500,2007-12-12,40,"SE10 8JE","flat","No","leasehold","102B","GREENWICH HIGH ROAD","LONDON","GREENWICH","A","102B GREENWICH HIGH ROAD LONDON","LONDON342",47,2,2,0
"406",675000,2009-01-12,180,"SE10 8JR","semi-detached","No","freehold","25","EGERTON DRIVE","LONDON","GREENWICH","A","25 EGERTON DRIVE LONDON","LONDON343",95,6,7,1
"407",415000,2012-06-01,66,"SE10 8NG","flat","No","leasehold","LONG MILL","MUMFORD MILLS","LONDON","GREENWICH","A","LONG MILL MUMFORD MILLS ","LONDON344",17,2,2,1
"408",410000,2012-07-31,69,"SE10 8QQ","flat","No","leasehold","35A","HYDE VALE","LONDON","GREENWICH","A","35A HYDE VALE ","LONDON345",22,2,3,1
"409",382500,2009-12-18,145,"SE10 9AQ","terraced","No","freehold","32","HADRIAN STREET","LONDON","GREENWICH","A","32 HADRIAN STREET ","LONDON346",19,5,5,1
"410",795000,2012-06-29,140,"SE10 9LU","flat","No","leasehold","PIPERS HOUSE","COLLINGTON STREET","LONDON","GREENWICH","A","PIPERS HOUSE COLLINGTON STREET GREENWICH","LONDON347",61,4,4,1
"411",455000,2009-01-06,94,"SE11 4AA","flat","No","leasehold","28","STANNARY STREET","LONDON","LAMBETH","A","28 STANNARY STREET LONDON","LONDON348",58,2,2,1
"412",413000,2012-10-08,81,"SE11 4AR","flat","No","leasehold","32B","RAVENSDON STREET","LONDON","LAMBETH","A","32B RAVENSDON STREET ","LONDON349",56,2,2,0
"413",540000,2016-07-21,129,"SE11 4TF","flat","No","leasehold","19A","OSWIN STREET","LONDON","SOUTHWARK","A","19A OSWIN STREET ","LONDON350",31,4,1,0
"414",480000,2009-01-09,97,"SE11 5QN","flat","No","leasehold","IMPERIAL COURT, 225","KENNINGTON LANE","LONDON","LAMBETH","A","IMPERIAL COURT, 225 KENNINGTON LANE LONDON","LONDON351",47,2,3,0
"415",250000,2009-01-20,17,"SE11 6DJ","flat","No","leasehold","DERBY HOUSE","WALNUT TREE WALK","LONDON","LAMBETH","A","DERBY HOUSE WALNUT TREE WALK LONDON","LONDON352",53,1,2,1
"416",245000,2010-06-28,89,"SE11 6LU","flat","No","leasehold","LONGTON HOUSE","LAMBETH WALK","LONDON","LAMBETH","A","LONGTON HOUSE LAMBETH WALK ","LONDON353",51,2,3,1
"417",565000,2016-02-26,144,"SE12 0ED","detached","No","freehold","13","WOODBURY GARDENS","LONDON","LEWISHAM","A","13 WOODBURY GARDENS ","LONDON354",151,5,4,1
"418",179950,2013-03-28,32,"SE12 9PY","flat","No","leasehold","OLDMAN COURT","MARVELS LANE","LONDON","LEWISHAM","A","OLDMAN COURT MARVELS LANE ","LONDON355",49,1,2,1
"419",177500,2010-05-28,32,"SE12 9PY","flat","No","leasehold","OLDMAN COURT","MARVELS LANE","LONDON","LEWISHAM","A","OLDMAN COURT MARVELS LANE ","LONDON355",46,1,2,1
"420",125000,2012-04-18,36,"SE12 9TN","flat","No","leasehold","69","AMBLECOTE ROAD","LONDON","LEWISHAM","A","69 AMBLECOTE ROAD ","LONDON356",24,2,2,1
"421",139995,2010-04-23,30,"SE13 5HU","flat","No","leasehold","EASTDOWN COURT 1-11","EASTDOWN PARK","LONDON","LEWISHAM","A","EASTDOWN COURT 1-11 EASTDOWN PARK ","LONDON357",41,1,1,0
"422",309950,2009-12-14,96,"SE13 5LR","terraced","No","freehold","21","LONGHURST ROAD","LONDON","LEWISHAM","A","21 LONGHURST ROAD ","LONDON358",50,2,3,1
"423",159000,2013-04-11,8,"SE13 5QX","flat","No","leasehold","1A","CORDWELL ROAD","LONDON","LEWISHAM","A","1A CORDWELL ROAD ","LONDON359",46,1,1,0
"424",160000,2009-07-02,45,"SE13 7AH","flat","No","leasehold","21A","GILLIAN STREET","LONDON","LEWISHAM","A","21A GILLIAN STREET ","LONDON360",34,2,2,1
"425",277000,2012-01-13,68,"SE13 7TN","flat","No","leasehold","44","HALESWORTH ROAD","LONDON","LEWISHAM","A","44 HALESWORTH ROAD ","LONDON361",50,2,3,1
"426",325000,2016-02-09,39,"SE13 7TW","flat","No","leasehold","7","SHELL ROAD","LONDON","LEWISHAM","A","7 SHELL ROAD ","LONDON362",48,2,2,0
"427",220000,2013-10-21,39,"SE13 7TW","flat","No","leasehold","7","SHELL ROAD","LONDON","LEWISHAM","A","7 SHELL ROAD ","LONDON362",45,2,2,0
"428",172250,2012-07-03,39,"SE13 7TW","flat","No","leasehold","7","SHELL ROAD","LONDON","LEWISHAM","A","7 SHELL ROAD ","LONDON362",44,2,2,0
"429",310275,2012-06-29,59,"SE14 6PD","flat","No","leasehold","PENTHOUSE, 132","LEWISHAM WAY","LONDON","LEWISHAM","A","PENTHOUSE, 132 LEWISHAM WAY ","LONDON363",53,2,2,1
"430",159000,2009-01-13,64,"SE14 6QP","flat","No","leasehold","INNER CITY HOUSE, 165 - 169","LEWISHAM WAY","LONDON","LEWISHAM","A","INNER CITY HOUSE, 165 - 169 LEWISHAM WAY LONDON","LONDON364",36,2,3,1
"431",178000,2010-03-11,64,"SE15 2LW","flat","No","leasehold","104B","ASYLUM ROAD","LONDON","SOUTHWARK","A","104B ASYLUM ROAD ","LONDON365",22,2,3,1
"432",330000,2016-05-31,86,"SE15 2NB","flat","No","leasehold","68B","KINGS GROVE","LONDON","SOUTHWARK","A","68B KINGS GROVE ","LONDON366",25,2,3,0
"433",250000,2009-03-27,49,"SE15 2SZ","terraced","No","freehold","80","LUGARD ROAD","LONDON","SOUTHWARK","A","80 LUGARD ROAD LONDON","LONDON367",88,2,2,0
"434",302477,2016-01-08,15,"SE15 3BE","flat","No","leasehold","FRASER LODGE, 42 - 44","STUART ROAD","LONDON","SOUTHWARK","A","FRASER LODGE, 42 - 44 STUART ROAD ","LONDON368",130,1,3,1
"435",243000,2013-03-26,33,"SE15 3BL","flat","No","leasehold","33","BORLAND ROAD","LONDON","SOUTHWARK","A","33 BORLAND ROAD ","LONDON369",68,1,2,1
"436",205000,2009-11-27,58,"SE15 3BU","flat","No","leasehold","216A","IVYDALE ROAD","LONDON","SOUTHWARK","A","216A IVYDALE ROAD ","LONDON370",26,3,3,1
"437",391000,2012-08-14,130,"SE15 3LW","detached","No","freehold","45","LINDEN GROVE","LONDON","SOUTHWARK","A","45 LINDEN GROVE ","LONDON371",36,4,3,1
"438",275000,2010-09-17,40,"SE15 3PD","flat","No","leasehold","12","WHORLTON ROAD","LONDON","SOUTHWARK","A","12 WHORLTON ROAD ","LONDON372",67,2,3,1
"439",171000,2009-03-10,22,"SE15 6EW","flat","No","leasehold","LISTED HOUSE, 46","PECKHAM GROVE","LONDON","SOUTHWARK","A","LISTED HOUSE, 46 PECKHAM GROVE LONDON","LONDON373",34,1,1,1
"440",392000,2013-09-24,57,"SE15 6HG","terraced","No","freehold","79","BLAKES ROAD","LONDON","SOUTHWARK","B","79 BLAKES ROAD ","LONDON374",48,3,3,1
"441",327500,2010-12-16,44,"SE15 6HG","terraced","No","freehold","89","BLAKES ROAD","LONDON","SOUTHWARK","A","89 BLAKES ROAD ","LONDON375",68,2,2,1
"442",437000,2013-05-10,114,"SE15 6HN","terraced","No","freehold","13","LYNBROOK GROVE","LONDON","SOUTHWARK","A","13 LYNBROOK GROVE ","LONDON376",37,4,3,1
"443",330000,2009-07-17,85,"SE15 6HN","terraced","No","freehold","17","LYNBROOK GROVE","LONDON","SOUTHWARK","A","17 LYNBROOK GROVE ","LONDON377",48,3,3,1
"444",340000,2010-05-28,74,"SE15 6HN","terraced","No","freehold","9","LYNBROOK GROVE","LONDON","SOUTHWARK","A","9 LYNBROOK GROVE ","LONDON378",59,2,3,1
"445",220000,2012-12-14,5,"SE16 3EB","flat","No","leasehold","MICHELANGELO COURT, 1","STUBBS DRIVE","LONDON","SOUTHWARK","A","MICHELANGELO COURT, 1 STUBBS DRIVE ","LONDON379",54,1,1,0
"446",167000,2013-05-30,12,"SE16 3EG","flat","No","leasehold","CONSTABLE COURT, 4","STUBBS DRIVE","LONDON","SOUTHWARK","A","CONSTABLE COURT, 4 STUBBS DRIVE ","LONDON380",4,1,2,1
"447",1375000,2012-01-16,181,"SE16 4NF","flat","No","leasehold","121 - 123","ROTHERHITHE STREET","LONDON","SOUTHWARK","A","121 - 123 ROTHERHITHE STREET ","LONDON381",26,6,5,0
"448",700000,2013-01-25,181,"SE16 4NF","flat","No","leasehold","121 - 123","ROTHERHITHE STREET","LONDON","SOUTHWARK","A","121 - 123 ROTHERHITHE STREET ","LONDON381",27,6,5,0
"449",905000,2007-11-23,204,"SE16 4TZ","terraced","No","freehold","4","NATIONAL TERRACE","LONDON","SOUTHWARK","A","4 NATIONAL TERRACE LONDON","LONDON382",62,5,3,1
"450",340000,2014-05-06,45,"SE16 5QX","flat","No","leasehold","SURREY HOUSE, 236","ROTHERHITHE STREET","LONDON","SOUTHWARK","A","SURREY HOUSE, 236 ROTHERHITHE STREET ","LONDON383",30,2,2,0
"451",250000,2010-04-30,49,"SE16 5SZ","flat","No","leasehold","LEESIDE COURT","ROTHERHITHE STREET","LONDON","SOUTHWARK","A","LEESIDE COURT ROTHERHITHE STREET ","LONDON384",42,2,2,0
"452",275000,2009-08-20,62,"SE16 6QL","terraced","No","freehold","3","VINCENT CLOSE","LONDON","SOUTHWARK","A","3 VINCENT CLOSE ","LONDON385",60,2,3,1
"453",375000,2012-01-18,64,"SE16 7PW","flat","No","leasehold","LOCK KEEPERS HEIGHTS, 117","BRUNSWICK QUAY","LONDON","SOUTHWARK","A","LOCK KEEPERS HEIGHTS, 117 BRUNSWICK QUAY ","LONDON386",18,2,3,1
"454",535000,2015-10-15,156,"SE16 7TQ","flat","No","leasehold","101","ROPE STREET","LONDON","SOUTHWARK","A","101 ROPE STREET ","LONDON387",105,5,4,1
"455",180000,2013-11-25,31,"SE18 1LP","terraced","No","freehold","11","BARGATE CLOSE","LONDON","GREENWICH","A","11 BARGATE CLOSE ","LONDON388",21,1,2,1
"456",280000,2010-09-24,81,"SE18 1NT","semi-detached","No","freehold","5","SAUNDERS ROAD","LONDON","GREENWICH","A","5 SAUNDERS ROAD ","LONDON389",55,2,3,1
"457",190000,2009-02-17,28,"SE18 1PB","terraced","No","freehold","82B","RIVERDALE ROAD","LONDON","GREENWICH","A","82B RIVERDALE ROAD LONDON","LONDON390",26,1,2,1
"458",250000,2013-12-02,40,"SE18 1RL","terraced","No","freehold","44","CHESTNUT RISE","LONDON","GREENWICH","A","44 CHESTNUT RISE ","LONDON391",11,2,3,1
"459",205000,2015-11-12,18,"SE18 3DJ","flat","No","leasehold","THE LEAS, 72","CLEANTHUS ROAD","LONDON","GREENWICH","A","THE LEAS, 72 CLEANTHUS ROAD ","LONDON392",26,1,2,1
"460",255000,2016-03-16,7,"SE18 5SP","flat","No","leasehold","BYWATER HOUSE","HARLINGER STREET","LONDON","GREENWICH","A","BYWATER HOUSE HARLINGER STREET ","LONDON393",21,1,1,1
"461",212300,2016-05-24,16,"SE18 6JG","flat","No","leasehold","THE VISTA BUILDING, 30","CALDERWOOD STREET","LONDON","GREENWICH","A","THE VISTA BUILDING, 30 CALDERWOOD STREET ","LONDON394",76,1,1,0
"462",125000,2013-09-02,16,"SE18 6JG","flat","No","leasehold","THE VISTA BUILDING, 30","CALDERWOOD STREET","LONDON","GREENWICH","A","THE VISTA BUILDING, 30 CALDERWOOD STREET ","LONDON394",73,1,1,0
"463",308000,2013-03-20,64,"SE18 6PJ","flat","No","leasehold","BUILDING 50","ARGYLL ROAD","LONDON","GREENWICH","A","BUILDING 50 ARGYLL ROAD ","LONDON395",18,3,2,1
"464",265000,2012-07-20,49,"SE18 6RB","flat","No","leasehold","BUILDING 37","CADOGAN ROAD","LONDON","GREENWICH","A","BUILDING 37 CADOGAN ROAD ","LONDON396",53,2,3,1
"465",208000,2012-08-15,24,"SE18 6SU","flat","No","leasehold","NIGHTINGALE HOUSE","CONNAUGHT MEWS","LONDON","GREENWICH","A","NIGHTINGALE HOUSE CONNAUGHT MEWS ","LONDON397",47,1,1,1
"466",233000,2009-01-30,5,"SE18 6TJ","flat","No","leasehold","BUILDING 45","HOPTON ROAD","LONDON","GREENWICH","A","BUILDING 45 HOPTON ROAD LONDON","LONDON398",48,1,1,1
"467",244000,2010-11-22,37,"SE18 6TJ","flat","No","leasehold","BUILDING 45","HOPTON ROAD","LONDON","GREENWICH","A","BUILDING 45 HOPTON ROAD ","LONDON399",55,2,2,0
"468",161000,2016-05-16,10,"SE18 7ES","flat","No","leasehold","87","ARTHUR GROVE","LONDON","GREENWICH","A","87 ARTHUR GROVE ","LONDON400",23,1,1,0
"469",155000,2016-05-16,10,"SE18 7ES","flat","No","leasehold","87","ARTHUR GROVE","LONDON","GREENWICH","B","87 ARTHUR GROVE ","LONDON400",23,1,1,0
"470",333000,2015-10-27,37,"SE19 1BW","flat","No","leasehold","29A","CENTRAL HILL","LONDON","CROYDON","A","29A CENTRAL HILL ","LONDON401",43,2,2,0
"471",183000,2013-06-21,37,"SE19 1BW","flat","No","leasehold","29A","CENTRAL HILL","LONDON","CROYDON","A","29A CENTRAL HILL ","LONDON401",40,2,2,0
"472",365000,2015-11-06,86,"SE19 1JF","terraced","No","freehold","12","GEORGETOWN CLOSE","LONDON","LAMBETH","B","12 GEORGETOWN CLOSE ","LONDON402",22,2,3,1
